Episode,Total Reward,Steps,Loss
664,663,1058,0.6701285901333298
665,653,1058,0.4485912085537198
666,4,4,0.34526629373431206
667,6,17,0.5567710688885521
668,8,8,0.46406782045960426
669,32,32,0.5284639657475054
670,16,16,0.4456666186451912
671,8,8,0.4218303728848696
672,8,8,1.1127680540084839
673,2,2,1.1227643191814423
674,293,436,0.9566835979802892
675,94,131,0.9253959075640176
676,22,33,0.5151062616796205
677,302,532,0.6341149343695855
678,6,8,0.4676637835800648
679,332,529,0.4116028777142328
680,84,132,0.45210725023890985
681,322,529,0.4187639900157492
682,16,16,1.596323661506176
683,655,1057,0.7203218356804004
684,22,33,0.4088325315352642
685,4,4,0.38765615969896317
686,2,2,0.34020429849624634
687,108,130,0.34042296753479884
688,168,264,0.3365140479961128
689,16,16,0.33080094307661057
690,4,4,0.25456637516617775
691,96,131,0.36169184710233265
692,4,4,1.2273108661174774
693,378,525,0.9421165163744064
694,20,33,0.5661656395955519
695,8,8,0.5223837606608868
696,8,8,0.4910972733050585
697,673,1056,0.4359730381067052
698,333,494,0.414086235619267
699,6,17,0.4502347769106136
700,4,4,0.40914735943078995
701,8,8,0.4621630609035492
702,160,265,1.386257735288368
703,68,134,1.1080011067105764
704,8,8,0.882139042019844
705,4,4,0.7200186550617218
706,669,1057,0.569197529396474
707,8,8,0.2723128981888294
708,16,16,0.34954322315752506
709,300,532,0.44983000551959623
710,268,535,0.4587961426405149
711,16,16,0.4643536973744631
712,388,524,1.0808589832700846
713,22,33,0.5661553036082875
714,382,524,0.46115911860047404
715,52,65,0.43029955602609193
716,22,33,0.44982949847524817
717,174,264,0.4153679705817591
718,6,17,0.3499191079069586
719,16,16,0.34023564122617245
720,731,1050,0.3846745472153028
721,593,1063,0.4739472124224436
722,725,1051,0.7637457652363064
723,192,262,0.33922396662808557
724,54,65,0.3473311165204415
725,74,133,0.38117945171836626
726,82,132,0.3714823681070949
727,741,1049,0.3873565167018183
728,172,264,0.4356728737440073
729,16,16,0.3322385447099805
730,2,2,0.31782403588294983
731,22,33,0.3785465707381566
732,198,261,1.2742797869375382
733,2,2,0.734433114528656
734,-2,9,1.0048795143763225
735,34,67,0.764253715970623
736,20,33,0.7446255828395034
737,2,2,0.7908490002155304
738,22,33,0.7454893552895748
739,16,16,0.6755057796835899
740,116,129,0.5823370590228443
741,82,132,0.5221937736778548
742,162,265,0.9888793976801746
743,22,33,0.7186511619524523
744,2,2,0.7140833139419556
745,66,134,0.6010741893924884
746,4,4,0.41382455080747604
747,2,2,0.5210168957710266
748,733,1050,0.410579051957244
749,64,64,0.3897350139450282
750,168,264,0.38287258484033926
751,16,16,0.3726427322253585
752,8,8,1.8850404471158981
753,84,132,1.5094241983059682
754,168,264,0.9179138664269086
755,64,64,0.6704296804964542
756,42,78,0.6082243556395556
757,34,67,0.5774674344418654
758,86,132,1.2379252585497769
759,398,523,0.8517534410577431
760,178,263,0.6033310937224232
761,296,532,0.43264781243931083
762,8,8,1.1738785952329636
763,713,1052,0.7544045868000376
764,172,264,0.4363688745846351
765,4,4,0.37957724928855896
766,22,68,0.41094177939436016
767,2,2,0.2934030666947365
768,2,2,0.35867534577846527
769,20,33,0.40469111231240357
770,2,2,0.6936281323432922
771,34,67,0.4871408652458618
772,629,1060,0.7686110520700239
773,4,4,0.3978103697299957
774,348,527,0.43379748322818945
775,22,33,0.5150637021570494
776,8,8,0.47870904952287674
777,156,266,0.43927589770322456
778,4,4,0.5313379317522049
779,2,2,0.4878787100315094
780,82,132,0.43457511406053195
781,4,4,0.3896646723151207
782,16,16,1.69722181558609
783,8,8,2.0300643295049667
784,202,261,1.334605323400534
785,8,8,0.9183095246553421
786,4,4,0.9345783889293671
787,657,1058,0.5947660012117857
788,130,268,0.4583223653373434
789,2,2,0.49442964792251587
790,4,4,0.47937534004449844
791,4,4,0.6654982641339302
792,697,1054,0.8780666769427412
793,4,4,0.49258118122816086
794,2,2,0.4763544499874115
795,2,2,0.8801257312297821
796,16,16,0.4706109091639519
797,2,2,0.4678836315870285
798,685,1053,0.5245990936572735
799,32,32,0.6018513236194849
800,32,32,0.5194273386150599
801,2,2,0.6344519555568695
802,16,16,1.5689214766025543
803,104,130,1.642022842168808
804,158,265,1.1141319396360865
805,44,66,0.8100314325455463
806,16,16,0.7564179264008999
807,689,1054,0.5513543440930305
808,16,16,0.40790779422968626
809,4,4,0.3653641790151596
810,2,2,0.5865679085254669
811,94,131,0.462435565832007
812,40,66,1.7556494131232754
813,32,32,1.6202606186270714
814,44,66,1.5540943416682156
815,667,1056,0.7898899538470714
816,92,131,0.5276564168566056
817,16,16,0.46514817513525486
818,4,4,0.650306262075901
819,2,2,0.8004001677036285
820,44,66,0.5810354604865565
821,2,2,0.33937768638134
822,2,2,1.6771649718284607
823,54,65,1.8067867113993719
824,2,2,1.5015934109687805
825,2,2,1.5730615258216858
826,184,263,1.3780726099195588
827,4,4,1.1425332129001617
828,104,130,0.9917355464054988
829,332,529,0.6843222323347354
830,657,1058,0.6045691907574865
831,348,527,0.5674419182810431
832,342,528,1.4903775630801013
833,4,4,0.9336755275726318
834,4,4,0.8816242069005966
835,22,33,0.8275030381751783
836,354,526,0.6883748849648487
837,178,263,0.5426371052804555
838,64,134,0.6597115810015308
839,20,68,0.5542039735352292
840,4,4,0.6596802920103073
841,174,264,0.6829323283763546
842,18,33,2.109570943947994
843,172,264,1.724503609041373
844,631,1059,0.8084875006401054
845,4,4,0.6898234263062477
846,32,32,0.5929449135437608
847,16,16,0.6439033858478069
848,16,16,0.47943897917866707
849,76,133,0.7432217471357575
850,16,16,0.5496009681373835
851,22,33,0.7295887948888721
852,4,17,2.691912559901967
853,2,2,1.94935804605484
854,54,65,2.4661093638493465
